ecoregion,scientific_name,common_name,class,conservation_status,habitat_type,image_url,attribution,description,species_id
Amazon and Guianas,Serranobatrachus carmelitae,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,"Serranobatrachus carmelitae, also known as Carmelita's robber frog, is a species of frog in the family Strabomantidae.",723b2c02-c092-4dad-a3c6-0efe941972ef
Amazon and Guianas,Osornophryne antisana,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/6/6b/Osornophryne_antisana_female_lateral_view_-_ZooKeys-108-073-g011.jpg,Wikimedia Commons,"Osornophryne antisana, the Napo plump toad, is a species of toad in the family Bufonidae.
It is endemic to Ecuador.
Its natural habitats are subtropical or tropical moist montane forests, subtropical or tropical high-altitude shrubland, and subtropical or tropical high-altitude grassland.
It is threatened by habitat loss.",3d4e8e9b-0cba-4310-99b4-cda892f02059
Amazon and Guianas,Pristimantis incanus,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis incanus is a species of frog in the family Strabomantidae.,8fc5b5cf-3405-43fb-bdcf-ceb7c5425e24
Amazon and Guianas,Boana ericae,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/7e/Hypsiboas_ericae.jpg,Wikimedia Commons,"Boana ericae is a species of frog in the family Hylidae. It is endemic to Brazil and only known from its type locality, Chapada dos Veadeiros National Park in the Goiás state. The specific name ericae honors Erica Maria Pellegrini Caramaschi, a Brazilian ichthyologist.",0ed589f3-c41c-4462-a8d1-63acf747d7b1
Amazon and Guianas,Boana ericae,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/7e/Hypsiboas_ericae.jpg,Wikimedia Commons,"Boana ericae is a species of frog in the family Hylidae. It is endemic to Brazil and only known from its type locality, Chapada dos Veadeiros National Park in the Goiás state. The specific name ericae honors Erica Maria Pellegrini Caramaschi, a Brazilian ichthyologist.",daf5311d-a9a1-4d52-aa3e-71036d72c2ac
Amazon and Guianas,Pristimantis ocellatus,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Pristimantis ocellatus is a species of frog in the family Strabomantidae.,8e8e4e14-00b9-4735-b2cd-336294a87c3f
Amazon and Guianas,Centrolene ballux,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/8/8c/Centrolene_ballux_59233260_%28cropped%29.jpg,Wikimedia Commons,Centrolene ballux is a species of frog in the family Centrolenidae. It is known from a few disjunct localities on the Pacific versant of the Cordillera Occidental in southern Colombia and northern Ecuador. Common names golden-flecked glassfrog and Burrowes' giant glass frog have been coined for it.,e8fd155b-bcbd-4f8a-a635-345352599d45
Amazon and Guianas,Agalychnis medinae,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/79/Parque_Estadual_Carlos_Botelho_Giordano_Rossi_%2805%29.jpg,Wikimedia Commons,"Agalychnis medinai, also known as the Rancho Grande leaf frog, is a species of frog in the subfamily Phyllomedusinae.",46b80159-cf19-43b1-8321-0f643ccb9bdf
Amazon and Guianas,Agalychnis medinae,,AMPHIBIA,EN,Freshwater,https://upload.wikimedia.org/wikipedia/commons/7/79/Parque_Estadual_Carlos_Botelho_Giordano_Rossi_%2805%29.jpg,Wikimedia Commons,"Agalychnis medinai, also known as the Rancho Grande leaf frog, is a species of frog in the subfamily Phyllomedusinae.",ae532e0c-8b98-4e6e-8186-3c5147e27fe2
Amazon and Guianas,Excidobates mysteriosus,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/a/a1/Excidobates_mysteriosus_-_Karlsruhe_Zoo_01.jpg,Wikimedia Commons,"The Marañón poison frog is a species of frog of the family Dendrobatidae. It is endemic the Cordillera del Condor, in the upper Marañón River drainage, of Cajamarca Department, Perú.",50255786-bc5b-4506-a88c-90bf7d7fb8d7
Amazon and Guianas,Phrynopus barthlenae,,AMPHIBIA,EN,Terrestrial,https://upload.wikimedia.org/wikipedia/commons/c/c4/Strabomantis_bufoniformis_studio.jpg,Wikimedia Commons,Phrynopus barthlenae is a species of frog in the family Strabomantidae.,0a289858-f272-416e-8816-05c1075c2911
